symbol,date,occurrences
AM,2021-03-07,3
AM,2021-03-09,1
AM,2021-03-10,4
AM,2021-03-11,6
AM,2021-03-12,3
AM,2021-03-14,2
AM,2021-03-17,4
AM,2021-03-18,3
AM,2021-03-19,1
AM,2021-03-20,3
AM,2021-03-24,1
AM,2021-03-25,2
AM,2021-03-26,2
AM,2021-04-02,1
AM,2021-04-08,2
AMC,2021-01-28,127
AMC,2021-01-29,1031
AMC,2021-01-30,162
AMC,2021-01-31,111
AMC,2021-02-01,98
AMC,2021-02-02,108
AMC,2021-02-03,160
AMC,2021-02-04,153
AMC,2021-02-05,228
AMC,2021-02-06,174
AMC,2021-02-07,82
AMC,2021-02-08,83
AMC,2021-02-09,20
AMC,2021-02-10,33
AMC,2021-02-11,17
AMC,2021-02-12,23
AMC,2021-02-13,9
AMC,2021-02-14,10
AMC,2021-02-15,28
AMC,2021-02-16,35
AMC,2021-02-17,26
AMC,2021-02-18,4
AMC,2021-02-19,5
AMC,2021-02-20,20
AMC,2021-02-21,18
AMC,2021-02-22,12
AMC,2021-02-23,2
AMC,2021-02-24,12
AMC,2021-02-25,23
AMC,2021-02-26,48
AMC,2021-02-27,20
AMC,2021-02-28,8
AMC,2021-03-01,55
AMC,2021-03-02,21
AMC,2021-03-03,51
AMC,2021-03-04,36
AMC,2021-03-05,24
AMC,2021-03-06,47
AMC,2021-03-07,36
AMC,2021-03-08,9
AMC,2021-03-09,16
AMC,2021-03-10,6
AMC,2021-03-11,77
AMC,2021-03-12,16
AMC,2021-03-13,4
AMC,2021-03-14,9
AMC,2021-03-15,45
AMC,2021-03-16,22
AMC,2021-03-17,28
AMC,2021-03-18,12
AMC,2021-03-19,20
AMC,2021-03-20,9
AMC,2021-03-21,3
AMC,2021-03-22,24
AMC,2021-03-23,4
AMC,2021-03-24,2
AMC,2021-03-25,35
AMC,2021-03-26,11
AMC,2021-03-27,6
AMC,2021-03-29,1
AMC,2021-03-30,1
AMC,2021-03-31,4
AMC,2021-04-01,3
AMC,2021-04-02,3
AMC,2021-04-03,1
AMC,2021-04-05,1
AMC,2021-04-06,1
AMC,2021-04-07,1
AMC,2021-04-09,4
AN,2021-01-28,2
AN,2021-01-29,23
AN,2021-01-30,4
AN,2021-01-31,3
AN,2021-02-01,3
AN,2021-02-02,4
AN,2021-02-03,2
AN,2021-02-04,1
AN,2021-02-05,7
AN,2021-02-06,5
AN,2021-02-07,3
AN,2021-02-10,1
AN,2021-02-13,1
AN,2021-02-14,2
AN,2021-02-15,1
AN,2021-02-20,1
AN,2021-02-24,1
AN,2021-02-25,1
AN,2021-02-26,1
AN,2021-02-27,1
AN,2021-03-01,1
AN,2021-03-02,1
AN,2021-03-03,1
AN,2021-03-08,1
AN,2021-03-14,3
AN,2021-03-15,1
AN,2021-03-17,4
AN,2021-03-18,1
AN,2021-03-23,1
AN,2021-03-25,1
AN,2021-03-26,2
AN,2021-03-27,1
AP,2021-02-02,1
AP,2021-02-08,1
AP,2021-02-10,5
AP,2021-02-21,1
AP,2021-02-27,1
AP,2021-03-16,1
AP,2021-03-26,8
AR,2021-02-02,1
AR,2021-02-08,2
AR,2021-02-09,1
AR,2021-02-10,5
AR,2021-02-11,2
AR,2021-02-14,1
AR,2021-02-16,1
AR,2021-02-17,1
AR,2021-02-27,2
AR,2021-03-04,1
AR,2021-03-27,1
AR,2021-03-29,1
AR,2021-04-03,10
AR,2021-04-06,1
ARE,2021-01-28,18
ARE,2021-01-29,248
ARE,2021-01-30,36
ARE,2021-01-31,21
ARE,2021-02-01,17
ARE,2021-02-02,16
ARE,2021-02-03,33
ARE,2021-02-04,27
ARE,2021-02-05,52
ARE,2021-02-06,34
ARE,2021-02-07,5
ARE,2021-02-08,7
ARE,2021-02-09,2
ARE,2021-02-10,3
ARE,2021-02-11,6
ARE,2021-02-12,3
ARE,2021-02-13,3
ARE,2021-02-14,1
ARE,2021-02-17,1
ARE,2021-02-18,1
ARE,2021-02-25,3
ARE,2021-02-26,7
ARE,2021-02-27,4
ARE,2021-02-28,5
ARE,2021-03-01,2
ARE,2021-03-02,1
ARE,2021-03-03,5
ARE,2021-03-04,1
ARE,2021-03-05,3
ARE,2021-03-06,1
ARE,2021-03-07,1
ARE,2021-03-10,3
ARE,2021-03-11,3
ARE,2021-03-13,2
ARE,2021-03-14,2
ARE,2021-03-15,2
ARE,2021-03-16,1
ARE,2021-03-17,6
ARE,2021-03-18,1
ARE,2021-03-19,1
ARE,2021-03-20,3
ARE,2021-03-22,1
ARE,2021-03-26,1
ARE,2021-03-29,1
ARE,2021-04-02,2
ARE,2021-04-06,1
ARE,2021-04-09,1
AT,2021-01-28,9
AT,2021-01-29,81
AT,2021-01-30,26
AT,2021-01-31,12
AT,2021-02-01,1
AT,2021-02-02,15
AT,2021-02-03,17
AT,2021-02-04,15
AT,2021-02-05,20
AT,2021-02-06,14
AT,2021-02-07,5
AT,2021-02-08,3
AT,2021-02-09,4
AT,2021-02-10,10
AT,2021-02-11,5
AT,2021-02-12,4
AT,2021-02-13,1
AT,2021-02-15,1
AT,2021-02-16,26
AT,2021-02-17,1
AT,2021-02-18,7
AT,2021-02-19,1
AT,2021-02-20,1
AT,2021-02-22,4
AT,2021-02-23,1
AT,2021-02-24,2
AT,2021-02-25,2
AT,2021-02-26,12
AT,2021-02-27,3
AT,2021-02-28,2
AT,2021-03-03,7
AT,2021-03-04,4
AT,2021-03-05,4
AT,2021-03-06,6
AT,2021-03-07,3
AT,2021-03-08,2
AT,2021-03-09,2
AT,2021-03-10,5
AT,2021-03-11,3
AT,2021-03-12,4
AT,2021-03-13,7
AT,2021-03-15,1
AT,2021-03-16,1
AT,2021-03-17,4
AT,2021-03-18,1
AT,2021-03-22,1
AT,2021-03-23,3
AT,2021-03-24,2
AT,2021-03-30,1
AT,2021-03-31,2
AT,2021-04-01,2
AT,2021-04-02,2
AT,2021-04-04,1
AT,2021-04-06,1
AT,2021-04-09,1
ATH,2021-01-29,8
ATH,2021-01-30,5
ATH,2021-01-31,3
ATH,2021-02-01,2
ATH,2021-02-02,1
ATH,2021-02-03,5
ATH,2021-02-04,8
ATH,2021-02-06,7
ATH,2021-02-07,1
ATH,2021-02-08,4
ATH,2021-02-09,1
ATH,2021-02-10,4
ATH,2021-02-11,1
ATH,2021-02-12,7
ATH,2021-02-13,2
ATH,2021-02-14,3
ATH,2021-02-15,1
ATH,2021-02-17,3
ATH,2021-02-18,3
ATH,2021-02-19,1
ATH,2021-02-22,3
ATH,2021-02-23,5
ATH,2021-02-24,2
ATH,2021-02-25,2
ATH,2021-02-26,1
ATH,2021-03-02,1
ATH,2021-03-03,5
ATH,2021-03-04,4
ATH,2021-03-05,5
ATH,2021-03-06,3
ATH,2021-03-07,1
ATH,2021-03-10,3
ATH,2021-03-11,2
ATH,2021-03-12,1
ATH,2021-03-13,1
ATH,2021-03-14,2
ATH,2021-03-15,4
ATH,2021-03-19,2
ATH,2021-03-22,1
ATH,2021-03-26,6
ATH,2021-03-27,3
ATH,2021-03-29,1
ATH,2021-04-02,1
ATH,2021-04-05,2
ATH,2021-04-06,2
ATH,2021-04-08,2
ATH,2021-04-09,4
B,2021-01-28,108
B,2021-01-29,882
B,2021-01-30,297
B,2021-01-31,202
B,2021-02-01,183
B,2021-02-02,200
B,2021-02-03,391
B,2021-02-04,325
B,2021-02-05,241
B,2021-02-06,290
B,2021-02-07,187
B,2021-02-08,83
B,2021-02-09,107
B,2021-02-10,193
B,2021-02-11,132
B,2021-02-12,109
B,2021-02-13,79
B,2021-02-14,83
B,2021-02-15,97
B,2021-02-16,91
B,2021-02-17,99
B,2021-02-18,83
B,2021-02-19,57
B,2021-02-20,118
B,2021-02-21,58
B,2021-02-22,67
B,2021-02-23,58
B,2021-02-24,108
B,2021-02-25,99
B,2021-02-26,138
B,2021-02-27,109
B,2021-02-28,38
B,2021-03-01,82
B,2021-03-02,92
B,2021-03-03,145
B,2021-03-04,169
B,2021-03-05,299
B,2021-03-06,166
B,2021-03-07,130
B,2021-03-08,127
B,2021-03-09,105
B,2021-03-10,210
B,2021-03-11,174
B,2021-03-12,116
B,2021-03-13,96
B,2021-03-14,88
B,2021-03-15,138
B,2021-03-16,169
B,2021-03-17,113
B,2021-03-18,186
B,2021-03-19,57
B,2021-03-20,37
B,2021-03-21,57
B,2021-03-22,70
B,2021-03-23,109
B,2021-03-24,132
B,2021-03-25,97
B,2021-03-26,71
B,2021-03-27,53
B,2021-03-28,50
B,2021-03-29,39
B,2021-03-30,22
B,2021-03-31,45
B,2021-04-01,76
B,2021-04-02,29
B,2021-04-03,55
B,2021-04-04,15
B,2021-04-05,44
B,2021-04-06,56
B,2021-04-07,29
B,2021-04-08,23
B,2021-04-09,20
BA,2021-01-28,1
BA,2021-01-30,2
BA,2021-02-04,1
BA,2021-02-05,2
BA,2021-02-11,1
BA,2021-02-13,3
BA,2021-02-15,2
BA,2021-02-18,8
BA,2021-02-23,1
BA,2021-02-25,1
BA,2021-02-28,2
BA,2021-03-04,2
BA,2021-03-07,2
BA,2021-03-17,8
BA,2021-03-20,1
BA,2021-03-27,1
BA,2021-03-30,1
BA,2021-03-31,1
BA,2021-04-01,1
BABA,2021-01-28,3
BABA,2021-01-29,2
BABA,2021-01-30,2
BABA,2021-01-31,3
BABA,2021-02-02,1
BABA,2021-02-04,1
BABA,2021-02-05,1
BABA,2021-02-06,1
BABA,2021-02-08,2
BABA,2021-02-09,2
BABA,2021-02-10,1
BABA,2021-02-13,3
BABA,2021-02-15,1
BABA,2021-02-17,9
BABA,2021-02-18,1
BABA,2021-02-23,2
BABA,2021-03-04,1
BABA,2021-03-05,7
BABA,2021-03-08,5
BABA,2021-03-10,1
BABA,2021-03-14,2
BABA,2021-03-15,1
BABA,2021-03-16,4
BABA,2021-03-17,2
BABA,2021-03-19,1
BABA,2021-03-27,1
BABA,2021-04-08,1
BABA,2021-04-09,1
BAC,2021-02-17,2
BAC,2021-02-26,6
BAC,2021-03-04,1
BAC,2021-03-06,12
BAC,2021-03-10,5
BAC,2021-03-17,1
BACK,2021-01-28,4
BACK,2021-01-29,57
BACK,2021-01-30,10
BACK,2021-01-31,3
BACK,2021-02-01,2
BACK,2021-02-03,3
BACK,2021-02-04,8
BACK,2021-02-05,6
BACK,2021-02-06,6
BACK,2021-02-07,1
BACK,2021-02-08,1
BACK,2021-02-09,1
BACK,2021-02-11,1
BACK,2021-02-17,1
BACK,2021-02-18,1
BACK,2021-02-20,1
BACK,2021-02-26,1
BACK,2021-02-27,1
BACK,2021-02-28,1
BACK,2021-03-01,1
BACK,2021-03-02,1
BACK,2021-03-05,1
BACK,2021-03-06,1
BACK,2021-03-07,2
BACK,2021-03-09,1
BACK,2021-03-10,2
BACK,2021-03-11,2
BACK,2021-03-15,1
BACK,2021-03-18,1
BACK,2021-03-19,1
BACK,2021-03-20,1
BB,2021-01-28,52
BB,2021-01-29,575
BB,2021-01-30,54
BB,2021-01-31,56
BB,2021-02-01,75
BB,2021-02-02,67
