Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.85,0.00,0.00%,49395706.00,United States,,51,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$23.74,-0.27,-1.125%,89523587.00,United States,,17818,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.04,0.03,2.97%,146847847.00,United States,,1869190,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.5537,-0.0197,-3.436%,62909917.00,China,,3249670,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.14,0.15,5.017%,172062297.00,,,31738,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.07,-0.10,-8.547%,18903822.00,United States,,530496,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.8101,-0.0131,-1.591%,43883187.00,Canada,,784459,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$14.80,0.35,2.422%,448272568.00,United States,2018,251614,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.44,0.03,1.245%,365954487.00,United States,,584544,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$23.90,0.65,2.796%,319779036.00,United States,2014,64743,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$10.8199,-0.2401,-2.171%,57648059.00,United States,,7375,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$72.50,0.30,0.416%,18380858663.00,United States,,865902,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.50,0.01,0.223%,191049818.00,United States,,694349,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$7.09,-0.10,-1.391%,184743350.00,United States,2017,82930,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$38.21,-0.66,-1.698%,339891400.00,,2020,16555,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$20.16,-0.57,-2.75%,557144844.00,United Kingdom,2012,33571,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$17.02,0.25,1.491%,1612530660.00,Canada,,472094,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$3.63,0.07,1.966%,722903537.00,United States,,433204,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$17.22,-0.06,-0.347%,196617151.00,United States,,15753,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$3.08,-0.04,-1.282%,205000334.00,United States,2015,633426,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.43,-0.22,-3.894%,765672419.00,,,88490,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.25,0.01,0.806%,26303315.00,United States,,66298,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$8.83,0.08,0.914%,368501339.00,,,101900,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.9712,-0.0388,-3.842%,198393251.00,United States,2017,910738,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$7.52,-0.54,-6.70%,15578928.00,United States,,7950,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$10.94,-0.71,-6.094%,61076598.00,United States,2017,71290,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.60,-0.001,-0.166%,307674119.00,Canada,,6807546,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.69,-0.05,-2.874%,48278734.00,United States,,120972,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.05,-0.05,-0.495%,149946000.00,,2020,654590,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.94,0.11,0.695%,299960450.00,United States,2002,11010,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.64,0.09,0.717%,64178551.00,United States,2002,14418,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.85,0.05,0.362%,76881959.00,United States,2002,9341,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.8215,-0.0165,-1.969%,34324393.00,United States,2007,846427,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$56.00,0.00,0.00%,204550976.00,United States,,194,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.19,0.05,2.336%,35045418.00,United States,2017,17230,Energy,Oilfield Services/Equipment
